accession	tier	subtree_annotations	evidence_codes
P49448	2		
P49458	2		
P49585	2		
P49588	2		
P49589	2		
P49591	2		
P49593	2		
P49641	2		
P49674	2		
P49720	2		
P49721	2		
P49748	2		
P49750	2		
P49753	2		
P49754	2		
P49755	2		
P49756	2		
P49770	2		
P49773	2		
P49790	2		
P49792	2		
P49815	2		
P49821	2		
P49841	2		
P49862	2		
P49903	2		
P49914	2		
P49915	2		
P49959	2		
P50135	2		
P50213	2		
P50225	2		
P50238	2		
P50395	2		
P50402	2		
P50416	2		
P50440	2		
P50452	2		
P50453	2		
P50454	2		
P50461	1	GO:0030018(IDA:BHF-UCL)	IDA
P50479	1	GO:0030018(IBA:GO_Central)	IBA
P50502	2		
P50552	2		
P50570	2		
P50579	2		
P50583	2		
P50747	2		
P50851	2		
P50895	2		
P50897	2		
P50914	2		
P50990	2		
P50991	2		
P50993	2		
P50995	2		
P51114	1	GO:0043034(IEA:Ensembl)	IEA
P51116	2		
P51149	2		
P51151	2		
P51452	2		
P51532	2		
P51553	2		
P51570	2		
P51571	2		
P51572	2		
P51589	2		
P51608	2		
P51610	2		
P51648	2		
P51649	2		
P51659	2		
P51665	2		
P51668	2		
P51687	2		
P51692	2		
P51809	2		
P51812	2		
P51857	2		
P51858	2		
P51884	2		
P51888	2		
P51911	2		
P51948	2		
P51970	2		
P51991	2		
P52179	1	GO:0031430(ISS:UniProtKB);GO:0005863(TAS:ProtInc)	ISS;TAS
P52209	2		
P52272	2		
P52294	2		
P52306	2		
P52434	2		
P52564	2		
P52565	2		
P52566	2		
P52597	2		
P52630	2		
P52758	2		
P52788	2		
P52789	2		
P52888	2		
P52895	2		
P52907	2		
P52943	2		
P52948	2		
P53004	2		
P53007	2		
P53041	2		
P53367	2		
P53384	2		
P53396	2		
P53582	2		
P53597	2		
P53602	2		
P53609	2		
P53618	2		
P53621	2		
P53634	2		
P53680	2		
P53701	2		
P53708	2		
P53778	2		
P53814	2		
P53985	2		
P53990	2		
P53992	2		
P53999	2		
P54136	2		
P54284	2		
P54289	2		
P54296	1	GO:0031430(IBA:GO_Central)	IBA
P54577	2		
P54578	2		
P54619	2		
P54646	2		
P54652	2		
P54725	2		
P54727	2		
P54819	2		
P54868	2		
P54886	2		
